session,skipped_node_1,skipped_node_2,skipped_node_3,skipped_node_4,skipped_node_5,skipped_node_6,nodes_skipped,Trainee launched node/1,Trainee attempted node/1,Trainee skipped node/1,Trainee passed node/1,Trainee launched node/2,Trainee attempted node/2,Trainee skipped node/2,Trainee passed node/2,Trainee launched node/3,Trainee attempted node/3,Trainee skipped node/3,Trainee passed node/3,Trainee launched node/4,Trainee attempted node/4,Trainee skipped node/4,Trainee passed node/4,Trainee launched node/5,Trainee attempted node/5,Trainee skipped node/5,Trainee passed node/5,Trainee launched node/6,Trainee attempted node/6,Trainee skipped node/6,Trainee passed node/6,time_for_node_1,time_for_node_2,time_for_node_3,time_for_node_4,time_for_node_5,time_for_node_6,sequence_completed,skipped_corner_1,skipped_corner_2,skipped_corner_3,skipped_corner_4,time_for_corner_1,time_for_corner_2,time_for_corner_3,time_for_corner_4,score_corner_1,score_corner_2,score_corner_3,score_corner_4,overall_score,score_activity_01,score_activity_02,score_activity_03,score_activity_04,score_activity_05,score_activity_06,score_activity_07,score_activity_08,score_activity_09,score_activity_10,score_activity_11,score_activity_12,score_activity_13,score_activity_14,score_competence_10_02,score_competence_10_03,score_competence_10_04,score_competence_10_05,score_competence_10_08,score_competence_10_10
AFJLH,0,0,0,0,0,0,0,2019-04-03T15:01:08Z,2019-04-03T15:01:48Z,NA,2019-04-03T15:02:08Z,2019-04-03T15:02:09Z,2019-04-03T15:02:17Z,NA,2019-04-03T15:02:22Z,2019-04-03T15:02:22Z,2019-04-03T15:02:42Z,NA,2019-04-03T15:02:44Z,2019-04-03T15:02:44Z,2019-04-03T15:03:15Z,NA,2019-04-03T15:03:47Z,2019-04-03T15:03:47Z,2019-04-03T15:03:51Z,NA,2019-04-03T15:04:10Z,2019-04-03T15:04:11Z,2019-04-03T15:04:13Z,NA,2019-04-03T15:04:25Z,60.3610000610352,13.5799999237061,21.7990000247955,63.1330001354218,23.5439999103546,14.1579999923706,TRUE,0,0,0,0,95.7400000095367,63.1330001354218,23.5439999103546,14.157999992370605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AULWB,0,0,0,0,0,0,0,2019-04-04T10:29:08Z,2019-04-04T10:29:46Z,NA,2019-04-04T10:30:05Z,2019-04-04T10:30:05Z,2019-04-04T10:30:15Z,NA,2019-04-04T10:30:23Z,2019-04-04T10:30:23Z,2019-04-04T10:30:54Z,NA,2019-04-04T10:31:00Z,2019-04-04T10:31:00Z,2019-04-04T10:32:17Z,NA,2019-04-04T10:32:24Z,2019-04-04T10:32:25Z,2019-04-04T10:32:47Z,NA,2019-04-04T10:32:55Z,2019-04-04T10:32:55Z,2019-04-04T10:33:00Z,NA,2019-04-04T10:33:16Z,57.085000038147,18.047000169754,36.8499999046326,84.6679999828339,30.8369998931885,20.3890001773834,TRUE,0,0,0,0,111.982000112534,84.6679999828339,30.8369998931885,20.389000177383423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRRFG,0,0,0,0,1,1,2,2019-04-03T13:46:45Z,2019-04-03T13:47:20Z,NA,2019-04-03T13:47:24Z,2019-04-03T13:47:24Z,2019-04-03T13:47:40Z,NA,2019-04-03T13:47:42Z,2019-04-03T13:47:42Z,2019-04-03T13:48:15Z,NA,2019-04-03T13:48:17Z,2019-04-03T13:48:17Z,2019-04-03T13:49:30Z,NA,2019-04-03T13:49:32Z,2019-04-03T13:49:32Z,2019-04-03T13:49:56Z,2019-04-03T13:49:58Z,NA,2019-04-03T13:49:59Z,2019-04-03T13:50:00Z,2019-04-03T13:50:01Z,NA,38.4319999217987,18.0639998912811,35.0280001163483,75.0429999828339,26.4530000686646,-Inf,FALSE,0,0,1,1,91.5239999294281,75.0429999828339,26.4530000686646,NA,1,1,0.88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBOPS,0,0,0,0,1,0,1,2019-04-04T08:36:18Z,2019-04-04T08:36:42Z,NA,2019-04-04T08:37:02Z,2019-04-04T08:37:02Z,2019-04-04T08:37:37Z,NA,2019-04-04T08:37:53Z,2019-04-04T08:37:53Z,2019-04-04T08:38:02Z,NA,2019-04-04T08:38:09Z,2019-04-04T08:38:09Z,2019-04-04T08:38:28Z,NA,2019-04-04T08:39:05Z,2019-04-04T08:39:05Z,2019-04-04T08:39:14Z,2019-04-04T08:39:23Z,NA,2019-04-04T08:39:23Z,2019-04-04T08:39:28Z,NA,2019-04-04T08:39:57Z,44.3210000991821,50.489000082016,16.0729999542236,56.2179999351501,18.1349999904633,33.7469999790192,TRUE,0,0,1,0,110.883000135422,56.2179999351501,18.1349999904633,33.746999979019165,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCLES,0,0,0,0,1,1,2,2019-04-02T15:21:16Z,2019-04-02T15:22:24Z,NA,2019-04-02T15:22:43Z,2019-04-02T15:22:43Z,2019-04-02T15:23:42Z,NA,2019-04-02T15:23:44Z,2019-04-02T15:23:44Z,2019-04-02T15:24:00Z,NA,2019-04-02T15:24:04Z,2019-04-02T15:24:04Z,2019-04-02T15:24:50Z,NA,2019-04-02T15:24:51Z,2019-04-02T15:24:51Z,2019-04-02T15:24:57Z,2019-04-02T15:24:59Z,NA,2019-04-02T15:24:59Z,2019-04-02T15:25:01Z,2019-04-02T15:25:02Z,NA,87.3950002193451,61.2379999160767,19.3899998664856,47.603000164032,7.63399982452393,-Inf,FALSE,0,0,1,1,168.023000001907,47.603000164032,7.63399982452393,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CFAIL,0,1,0,1,1,1,4,2019-04-01T15:30:06Z,2019-04-01T15:30:54Z,NA,2019-04-01T15:31:25Z,2019-04-01T15:31:26Z,2019-04-01T15:35:43Z,2019-04-01T15:36:44Z,NA,2019-04-01T15:36:44Z,2019-04-01T15:39:56Z,NA,2019-04-01T15:40:13Z,2019-04-01T15:40:13Z,2019-04-01T15:42:00Z,2019-04-01T15:42:54Z,NA,2019-04-01T15:42:54Z,2019-04-01T15:43:16Z,2019-04-01T15:44:36Z,NA,2019-04-01T15:44:36Z,2019-04-01T15:44:41Z,2019-04-01T15:45:16Z,NA,79.1449999809265,318.871000051498,209.092000007629,160.994999885559,101.598000049591,-Inf,FALSE,1,1,1,1,607.108000040054,160.994999885559,101.598000049591,NA,1,0.9,0.93,0.92,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0.6,1,1,1,1,0
DMTQG,0,0,0,0,0,1,1,2019-04-03T11:58:11Z,2019-04-03T11:58:49Z,NA,2019-04-03T11:59:05Z,2019-04-03T11:59:05Z,2019-04-03T11:59:13Z,NA,2019-04-03T11:59:28Z,2019-04-03T11:59:28Z,2019-04-03T11:59:46Z,NA,2019-04-03T11:59:49Z,2019-04-03T11:59:49Z,2019-04-03T12:00:08Z,NA,2019-04-03T12:00:21Z,2019-04-03T12:00:21Z,2019-04-03T12:00:35Z,NA,2019-04-03T12:00:50Z,2019-04-03T12:00:50Z,2019-04-03T12:01:02Z,2019-04-03T12:01:04Z,NA,53.683000087738,23.0699999332428,21.1600000858307,31.7249999046326,29.085000038147,-Inf,FALSE,0,0,0,1,97.9130001068115,31.7249999046326,29.085000038147,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DNJPX,1,1,1,1,1,1,6,2019-04-02T14:35:04Z,2019-04-02T14:37:29Z,2019-04-02T14:37:33Z,NA,2019-04-02T14:37:33Z,2019-04-02T14:37:41Z,2019-04-02T14:37:44Z,NA,2019-04-02T14:37:45Z,2019-04-02T14:37:50Z,2019-04-02T14:37:53Z,NA,2019-04-02T14:37:53Z,2019-04-02T14:38:22Z,2019-04-02T14:38:31Z,NA,2019-04-02T14:38:32Z,2019-04-02T14:38:34Z,2019-04-02T14:38:35Z,NA,2019-04-02T14:38:35Z,2019-04-02T14:38:36Z,2019-04-02T14:38:38Z,NA,148.776000022888,11.4480001926422,8.18899989128113,38.8989999294281,3.2350001335144,-Inf,FALSE,1,1,1,1,168.413000106812,38.8989999294281,3.2350001335144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDQQQ,1,0,0,0,1,0,2,2019-04-03T13:14:48Z,2019-04-03T13:15:04Z,2019-04-03T13:15:07Z,NA,2019-04-03T13:15:07Z,2019-04-03T13:15:09Z,NA,2019-04-03T13:15:11Z,2019-04-03T13:15:12Z,2019-04-03T13:15:17Z,NA,2019-04-03T13:15:18Z,2019-04-03T13:15:18Z,2019-04-03T13:15:29Z,NA,2019-04-03T13:15:38Z,2019-04-03T13:15:38Z,2019-04-03T13:15:58Z,2019-04-03T13:16:00Z,NA,2019-04-03T13:16:00Z,2019-04-03T13:16:16Z,NA,2019-04-03T13:16:17Z,18.7359998226166,4.80100011825562,6.54099988937378,19.6050000190735,22.0190000534058,17.2139999866486,TRUE,1,0,1,0,30.077999830246,19.6050000190735,22.0190000534058,17.21399998664856,0,1,0.88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGGHX,0,0,0,0,0,0,0,2019-04-03T13:01:54Z,2019-04-03T13:02:42Z,NA,2019-04-03T13:02:53Z,2019-04-03T13:02:54Z,2019-04-03T13:03:27Z,NA,2019-04-03T13:03:31Z,2019-04-03T13:03:32Z,2019-04-03T13:04:02Z,NA,2019-04-03T13:04:17Z,2019-04-03T13:04:17Z,2019-04-03T13:04:37Z,NA,2019-04-03T13:05:19Z,2019-04-03T13:05:19Z,2019-04-03T13:05:45Z,NA,2019-04-03T13:05:47Z,2019-04-03T13:05:47Z,2019-04-03T13:05:57Z,NA,2019-04-03T13:06:03Z,60.1519999504089,37.9760000705719,45.5869998931885,62.1890001296997,27.4479999542236,16.425999879837,TRUE,0,0,0,0,143.714999914169,62.1890001296997,27.4479999542236,16.425999879837036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENQWB,0,1,0,1,1,1,4,2019-04-02T08:44:52Z,2019-04-02T08:46:26Z,NA,2019-04-02T08:46:58Z,2019-04-02T08:46:59Z,2019-04-02T08:47:11Z,2019-04-02T08:47:33Z,NA,2019-04-02T08:47:33Z,2019-04-02T08:47:50Z,NA,2019-04-02T08:48:02Z,2019-04-02T08:48:02Z,2019-04-02T08:48:28Z,2019-04-02T08:49:25Z,NA,2019-04-02T08:49:25Z,2019-04-02T08:49:37Z,2019-04-02T08:50:01Z,NA,2019-04-02T08:50:01Z,2019-04-02T08:50:05Z,2019-04-02T08:50:26Z,NA,127.134000062943,34.3339998722076,29.2700002193451,83.0230000019073,35.9079999923706,-Inf,FALSE,1,1,1,1,190.738000154495,83.0230000019073,35.9079999923706,NA,1,0.78,0.86,0.83,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0.4,1,1,0.5,1,0
FBWPA,0,0,0,0,0,0,0,2019-04-03T15:23:57Z,2019-04-03T15:25:33Z,NA,2019-04-03T15:25:50Z,2019-04-03T15:25:50Z,2019-04-03T15:26:09Z,NA,2019-04-03T15:26:26Z,2019-04-03T15:26:26Z,2019-04-03T15:26:35Z,NA,2019-04-03T15:26:48Z,2019-04-03T15:26:48Z,2019-04-03T15:27:01Z,NA,2019-04-03T15:27:13Z,2019-04-03T15:27:13Z,2019-04-03T15:27:59Z,NA,2019-04-03T15:28:12Z,2019-04-03T15:28:12Z,2019-04-03T15:28:24Z,NA,2019-04-03T15:28:34Z,113.528000116348,35.6040000915527,22.1669998168945,25.0260000228882,59.0329999923706,22.0380001068115,TRUE,0,0,0,0,171.299000024796,25.0260000228882,59.0329999923706,22.038000106811523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FNECN,0,1,0,1,1,1,4,2019-04-03T14:23:29Z,2019-04-03T14:24:27Z,NA,2019-04-03T14:25:17Z,2019-04-03T14:25:17Z,2019-04-03T14:25:57Z,2019-04-03T14:26:26Z,NA,2019-04-03T14:26:26Z,2019-04-03T14:26:38Z,NA,2019-04-03T14:26:54Z,2019-04-03T14:26:54Z,2019-04-03T14:27:53Z,2019-04-03T14:27:55Z,NA,2019-04-03T14:27:55Z,2019-04-03T14:28:14Z,2019-04-03T14:28:36Z,NA,2019-04-03T14:28:36Z,2019-04-03T14:28:44Z,2019-04-03T14:29:05Z,NA,108.132999897003,68.9839999675751,28.1070001125336,60.4179999828339,41.0169999599457,-Inf,FALSE,1,1,1,1,205.223999977112,60.4179999828339,41.0169999599457,NA,1,0.96,0.96,0.96,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
FNICV,0,0,0,0,0,0,0,2019-04-04T14:05:59Z,2019-04-04T14:06:19Z,NA,2019-04-04T14:06:37Z,2019-04-04T14:06:37Z,2019-04-04T14:06:50Z,NA,2019-04-04T14:07:04Z,2019-04-04T14:07:05Z,2019-04-04T14:07:16Z,NA,2019-04-04T14:07:21Z,2019-04-04T14:07:22Z,2019-04-04T14:07:55Z,NA,2019-04-04T14:08:07Z,2019-04-04T14:08:07Z,2019-04-04T14:08:31Z,NA,2019-04-04T14:08:40Z,2019-04-04T14:08:40Z,2019-04-04T14:08:48Z,NA,2019-04-04T14:08:57Z,38.5799999237061,27.5039999485016,16.9860000610352,45.6050000190735,32.9200000762939,16.9029998779297,TRUE,0,0,0,0,83.0699999332428,45.6050000190735,32.9200000762939,16.902999877929688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FQUVG,0,0,0,1,1,1,3,2019-04-02T12:17:16Z,2019-04-02T12:18:32Z,NA,2019-04-02T12:18:35Z,2019-04-02T12:18:35Z,2019-04-02T12:20:29Z,NA,2019-04-02T12:20:34Z,2019-04-02T12:20:34Z,2019-04-02T12:20:58Z,NA,2019-04-02T12:21:01Z,2019-04-02T12:21:02Z,2019-04-02T12:21:18Z,2019-04-02T12:21:22Z,NA,2019-04-02T12:21:22Z,2019-04-02T12:21:46Z,2019-04-02T12:21:48Z,NA,2019-04-02T12:21:48Z,2019-04-02T12:21:50Z,2019-04-02T12:22:00Z,NA,79.2309999465942,119.27999997139,27.2960000038147,20.4370000362396,26.0060000419617,-Inf,FALSE,0,1,1,1,225.806999921799,20.4370000362396,26.0060000419617,NA,1,0.92,0.92,0.92,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,1,1,0,1
FWHDW,0,0,0,0,0,1,1,2019-04-03T09:47:02Z,2019-04-03T09:47:32Z,NA,2019-04-03T09:47:57Z,2019-04-03T09:47:58Z,2019-04-03T09:48:15Z,NA,2019-04-03T09:48:32Z,2019-04-03T09:48:32Z,2019-04-03T09:48:51Z,NA,2019-04-03T09:48:55Z,2019-04-03T09:48:55Z,2019-04-03T09:49:22Z,NA,2019-04-03T09:49:51Z,2019-04-03T09:49:51Z,2019-04-03T09:49:59Z,NA,2019-04-03T09:50:36Z,2019-04-03T09:50:36Z,2019-04-03T09:50:57Z,2019-04-03T09:51:00Z,NA,55.9300000667572,34.5069999694824,22.9680001735687,55.9919998645782,44.7980000972748,-Inf,FALSE,0,0,0,1,113.405000209808,55.9919998645782,44.7980000972748,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEEHQ,0,0,0,0,0,0,0,2019-04-03T11:43:34Z,2019-04-03T11:44:19Z,NA,2019-04-03T11:44:42Z,2019-04-03T11:44:42Z,2019-04-03T11:44:51Z,NA,2019-04-03T11:45:03Z,2019-04-03T11:45:03Z,2019-04-03T11:45:11Z,NA,2019-04-03T11:45:20Z,2019-04-03T11:45:20Z,2019-04-03T11:45:29Z,NA,2019-04-03T11:45:41Z,2019-04-03T11:45:41Z,2019-04-03T11:45:54Z,NA,2019-04-03T11:46:04Z,2019-04-03T11:46:04Z,2019-04-03T11:46:09Z,NA,2019-04-03T11:46:19Z,67.9400000572205,20.5629999637604,16.9949998855591,20.9000000953674,22.8949999809265,15.260999917984,TRUE,0,0,0,0,105.49799990654,20.9000000953674,22.8949999809265,15.260999917984009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GICDK,0,0,0,1,1,1,3,2019-04-02T12:32:21Z,2019-04-02T12:33:16Z,NA,2019-04-02T12:33:18Z,2019-04-02T12:33:18Z,2019-04-02T12:33:57Z,NA,2019-04-02T12:33:59Z,2019-04-02T12:33:59Z,2019-04-02T12:34:46Z,NA,2019-04-02T12:34:50Z,2019-04-02T12:34:50Z,2019-04-02T12:35:30Z,2019-04-02T12:35:52Z,NA,2019-04-02T12:35:52Z,2019-04-02T12:35:55Z,2019-04-02T12:36:56Z,NA,2019-04-02T12:36:56Z,2019-04-02T12:36:58Z,2019-04-02T12:37:05Z,NA,57.4400000572205,40.539999961853,51.470999956131,61.7669999599457,64.1549999713898,-Inf,FALSE,0,1,1,1,149.450999975204,61.7669999599457,64.1549999713898,NA,1,0.96,0.88,0.88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
GLADO,1,1,0,1,1,1,5,2019-04-02T08:55:58Z,2019-04-02T08:57:38Z,2019-04-02T08:58:02Z,NA,2019-04-02T08:58:02Z,2019-04-02T08:59:36Z,2019-04-02T09:00:09Z,NA,2019-04-02T09:00:09Z,2019-04-02T09:00:43Z,NA,2019-04-02T09:01:05Z,2019-04-02T09:01:06Z,2019-04-02T09:02:37Z,2019-04-02T09:03:31Z,NA,2019-04-02T09:03:31Z,2019-04-02T09:03:41Z,2019-04-02T09:05:13Z,NA,2019-04-02T09:05:13Z,2019-04-02T09:05:17Z,2019-04-02T09:06:09Z,NA,124.013999938965,126.907999992371,56.6349999904633,145.207999944687,102.107000112534,-Inf,FALSE,1,1,1,1,307.556999921799,145.207999944687,102.107000112534,NA,0.89,0.83,0.93,0.97,0.89,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0.4,1,1,1,1,0
GRLWN,0,0,0,1,1,1,3,2019-04-02T11:46:47Z,2019-04-02T11:47:46Z,NA,2019-04-02T11:48:17Z,2019-04-02T11:48:17Z,2019-04-02T11:49:10Z,NA,2019-04-02T11:49:25Z,2019-04-02T11:49:25Z,2019-04-02T11:49:49Z,NA,2019-04-02T11:50:08Z,2019-04-02T11:50:09Z,2019-04-02T11:50:26Z,2019-04-02T11:51:39Z,NA,2019-04-02T11:51:39Z,2019-04-02T11:51:45Z,2019-04-02T11:52:48Z,NA,2019-04-02T11:52:49Z,2019-04-02T11:52:52Z,2019-04-02T11:53:27Z,NA,90.5199999809265,67.7929999828339,43.768000125885,90.210000038147,69.6119999885559,-Inf,FALSE,0,1,1,1,202.081000089645,90.210000038147,69.6119999885559,NA,1,0.85,0.83,0.88,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8,0.75,1,1,0,1
HKGPH,0,0,0,0,0,0,0,2019-04-03T12:17:34Z,2019-04-03T12:18:07Z,NA,2019-04-03T12:18:22Z,2019-04-03T12:18:23Z,2019-04-03T12:18:40Z,NA,2019-04-03T12:19:15Z,2019-04-03T12:19:15Z,2019-04-03T12:19:28Z,NA,2019-04-03T12:19:36Z,2019-04-03T12:19:37Z,2019-04-03T12:19:43Z,NA,2019-04-03T12:19:59Z,2019-04-03T12:19:59Z,2019-04-03T12:20:16Z,NA,2019-04-03T12:20:34Z,2019-04-03T12:20:35Z,2019-04-03T12:20:38Z,NA,2019-04-03T12:20:50Z,48.5499999523163,52.5700001716614,21.3029999732971,22.7200000286102,35.2869999408722,15.194000005722,TRUE,0,0,0,0,122.423000097275,22.7200000286102,35.2869999408722,15.194000005722046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HQLPD,0,0,0,0,0,0,0,2019-04-04T11:03:44Z,2019-04-04T11:04:19Z,NA,2019-04-04T11:04:44Z,2019-04-04T11:04:44Z,2019-04-04T11:05:54Z,NA,2019-04-04T11:06:12Z,2019-04-04T11:06:12Z,2019-04-04T11:06:34Z,NA,2019-04-04T11:06:47Z,2019-04-04T11:06:47Z,2019-04-04T11:07:18Z,NA,2019-04-04T11:07:28Z,2019-04-04T11:07:28Z,2019-04-04T11:07:46Z,NA,2019-04-04T11:08:02Z,2019-04-04T11:08:03Z,2019-04-04T11:08:05Z,NA,2019-04-04T11:08:17Z,60.720999956131,87.9700000286102,34.5079998970032,41.0900001525879,34.6729998588562,14.8029999732971,TRUE,0,0,0,0,183.198999881744,41.0900001525879,34.6729998588562,14.80299997329712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HVXFD,0,0,0,0,1,0,1,2019-04-03T11:31:12Z,2019-04-03T11:31:39Z,NA,2019-04-03T11:31:58Z,2019-04-03T11:31:58Z,2019-04-03T11:32:06Z,NA,2019-04-03T11:32:31Z,2019-04-03T11:32:31Z,2019-04-03T11:32:44Z,NA,2019-04-03T11:33:12Z,2019-04-03T11:33:12Z,2019-04-03T11:33:33Z,NA,2019-04-03T11:33:45Z,2019-04-03T11:33:46Z,2019-04-03T11:34:13Z,2019-04-03T11:34:41Z,NA,2019-04-03T11:34:41Z,2019-04-03T11:34:46Z,NA,2019-04-03T11:34:59Z,46.4230000972748,33.1999998092651,41.0730001926422,33.2379999160767,55.6229999065399,18.0040001869202,TRUE,0,0,1,0,120.696000099182,33.2379999160767,55.6229999065399,18.004000186920166,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ICDWY,0,1,0,1,1,1,4,2019-04-02T10:53:08Z,2019-04-02T10:54:45Z,NA,2019-04-02T10:55:56Z,2019-04-02T10:55:56Z,2019-04-02T10:56:52Z,2019-04-02T10:57:21Z,NA,2019-04-02T10:57:21Z,2019-04-02T10:57:49Z,NA,2019-04-02T10:58:06Z,2019-04-02T10:58:06Z,2019-04-02T10:58:27Z,2019-04-02T10:59:11Z,NA,2019-04-02T10:59:11Z,2019-04-02T10:59:20Z,2019-04-02T10:59:55Z,NA,2019-04-02T10:59:55Z,2019-04-02T10:59:59Z,2019-04-02T11:00:13Z,NA,168.260999917984,84.893000125885,45.2379999160767,65.4210000038147,43.6909999847412,-Inf,FALSE,1,1,1,1,298.391999959946,65.4210000038147,43.6909999847412,NA,1,0.96,0.97,0.83,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
ICEWL,0,0,0,0,0,0,0,2019-04-04T08:19:30Z,2019-04-04T08:20:11Z,NA,2019-04-04T08:20:31Z,2019-04-04T08:20:31Z,2019-04-04T08:21:03Z,NA,2019-04-04T08:21:38Z,2019-04-04T08:21:39Z,2019-04-04T08:22:18Z,NA,2019-04-04T08:22:23Z,2019-04-04T08:22:23Z,2019-04-04T08:23:03Z,NA,2019-04-04T08:23:15Z,2019-04-04T08:23:16Z,2019-04-04T08:23:48Z,NA,2019-04-04T08:24:07Z,2019-04-04T08:24:07Z,2019-04-04T08:24:13Z,NA,2019-04-04T08:24:36Z,61.039999961853,67.7779998779297,44.4660000801086,52.5139999389648,51.7339999675751,28.694000005722,TRUE,0,0,0,0,173.283999919891,52.5139999389648,51.7339999675751,28.694000005722046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ILWAF,0,0,0,0,0,1,1,2019-04-04T15:28:12Z,2019-04-04T15:28:52Z,NA,2019-04-04T15:29:13Z,2019-04-04T15:29:13Z,2019-04-04T15:29:34Z,NA,2019-04-04T15:29:39Z,2019-04-04T15:29:40Z,2019-04-04T15:30:08Z,NA,2019-04-04T15:30:12Z,2019-04-04T15:30:12Z,2019-04-04T15:31:07Z,NA,2019-04-04T15:31:17Z,2019-04-04T15:31:17Z,2019-04-04T15:31:37Z,NA,2019-04-04T15:32:20Z,2019-04-04T15:32:21Z,2019-04-04T15:32:23Z,2019-04-04T15:32:35Z,NA,60.7030000686646,26.5989999771118,32.2109999656677,65.2200000286102,63.6600000858307,-Inf,FALSE,0,0,0,1,119.513000011444,65.2200000286102,63.6600000858307,NA,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JASMD,0,1,0,0,0,0,1,2019-04-04T12:21:21Z,2019-04-04T12:21:49Z,NA,2019-04-04T12:22:11Z,2019-04-04T12:22:11Z,2019-04-04T12:22:21Z,2019-04-04T12:22:48Z,NA,2019-04-04T12:22:48Z,2019-04-04T12:23:16Z,NA,2019-04-04T12:23:19Z,2019-04-04T12:23:19Z,2019-04-04T12:23:35Z,NA,2019-04-04T12:23:48Z,2019-04-04T12:23:49Z,2019-04-04T12:24:28Z,NA,2019-04-04T12:24:53Z,2019-04-04T12:24:53Z,2019-04-04T12:24:58Z,NA,2019-04-04T12:25:12Z,50.2990000247955,36.5390000343323,31.3789999485016,29.5069999694824,64.7019999027252,19.1010000705719,TRUE,1,0,0,0,118.217000007629,29.5069999694824,64.7019999027252,19.1010000705719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JQFUL,0,0,0,1,0,0,1,2019-04-02T12:54:06Z,2019-04-02T12:55:12Z,NA,2019-04-02T12:55:14Z,2019-04-02T12:55:14Z,2019-04-02T12:55:55Z,NA,2019-04-02T12:55:56Z,2019-04-02T12:55:57Z,2019-04-02T12:56:13Z,NA,2019-04-02T12:56:15Z,2019-04-02T12:56:15Z,2019-04-02T12:57:33Z,2019-04-02T12:57:35Z,NA,2019-04-02T12:57:35Z,2019-04-02T12:58:28Z,NA,2019-04-02T12:58:31Z,2019-04-02T12:58:31Z,2019-04-02T12:58:36Z,NA,2019-04-02T12:58:45Z,68.2309999465942,42.6890001296997,18.3149998188019,79.9500000476837,56.5529999732971,13.422000169754,TRUE,0,1,0,0,129.234999895096,79.9500000476837,56.5529999732971,13.422000169754028,1,0.92,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,1,1,0,1
KLXIY,0,0,0,1,1,1,3,2019-04-03T13:34:35Z,2019-04-03T13:35:22Z,NA,2019-04-03T13:36:02Z,2019-04-03T13:36:02Z,2019-04-03T13:36:55Z,NA,2019-04-03T13:36:59Z,2019-04-03T13:37:00Z,2019-04-03T13:38:02Z,NA,2019-04-03T13:38:04Z,2019-04-03T13:38:04Z,2019-04-03T13:39:25Z,2019-04-03T13:39:27Z,NA,2019-04-03T13:39:27Z,2019-04-03T13:40:33Z,2019-04-03T13:40:48Z,NA,2019-04-03T13:40:48Z,2019-04-03T13:40:50Z,2019-04-03T13:40:52Z,NA,87.1860001087189,57.7679998874664,64.2780001163483,83.3250000476837,80.6309998035431,-Inf,FALSE,0,1,1,1,209.232000112534,83.3250000476837,80.6309998035431,NA,1,0.88,0.88,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.8,0.75,1,1,0,1
